manufacturer,item,category,csi_spec_section,description,mounting_type,size_height_in,labor_per,currency,unit_of_measure
Accurate Partitions,Alpaco Classic 58,Toilet Partitions,10 21 13,Alpaco Classic Collection — 58" Ultimate Privacy phenolic toilet partition. Zero sightline doors and pilasters. https://asi-accuratepartitions.com/products/alpaco-classic-collection/,Floor Anchored/Overhead Braced,58,4.5,USD,EA
Accurate Partitions,Alpaco Classic 64,Toilet Partitions,10 21 13,Alpaco Classic Collection — 64" Ultimate Privacy phenolic toilet partition. Zero sightline doors and pilasters. https://asi-accuratepartitions.com/products/alpaco-classic-collection/,Floor Anchored/Overhead Braced,64,4.5,USD,EA
Accurate Partitions,Alpaco Classic 72,Toilet Partitions,10 21 13,Alpaco Classic Collection — 72" Ultimate Privacy phenolic toilet partition. Doors and panels up to 72". https://asi-accuratepartitions.com/products/alpaco-classic-collection/,Floor Anchored/Overhead Braced,72,4.5,USD,EA
Accurate Partitions,Alpaco Elegance 58,Toilet Partitions,10 21 13,Alpaco Elegance Collection — 58" Ultimate Privacy phenolic toilet partition with stainless steel top rail. https://asi-accuratepartitions.com/products/alpaco-elegance-partitions/,Floor Anchored/Overhead Braced,58,4.5,USD,EA
Accurate Partitions,Alpaco Elegance 64,Toilet Partitions,10 21 13,Alpaco Elegance Collection — 64" Ultimate Privacy phenolic toilet partition with stainless steel top rail. https://asi-accuratepartitions.com/products/alpaco-elegance-partitions/,Floor Anchored/Overhead Braced,64,4.5,USD,EA
Accurate Partitions,Alpaco Elegance 72,Toilet Partitions,10 21 13,Alpaco Elegance Collection — 72" Ultimate Privacy phenolic toilet partition with stainless steel top rail. https://asi-accuratepartitions.com/products/alpaco-elegance-partitions/,Floor Anchored/Overhead Braced,72,4.5,USD,EA
Accurate Partitions,Solid Plastic HDPE 58,Toilet Partitions,10 21 13,Solid Plastic (HDPE) toilet partition — 58" standard. No-Sight privacy strips. 25-year warranty. https://asi-accuratepartitions.com/products/solid-plastic-hdpe/,"Floor Anchored/Overhead Braced; Ceiling Hung; Floor to Ceiling Anchored",58,4.5,USD,EA
Accurate Partitions,Powder Coated Steel 58,Toilet Partitions,10 21 13,Integrated Privacy powder coated steel toilet partition — 58" Ultimate Privacy. https://asi-accuratepartitions.com/products/powder-coated-steel/,"Floor Anchored/Overhead Braced; Floor Anchored; Ceiling Hung; Floor to Ceiling Anchored",58,4.5,USD,EA
Accurate Partitions,Powder Coated Steel 64,Toilet Partitions,10 21 13,Integrated Privacy powder coated steel toilet partition — 64" Ultimate Privacy. https://asi-accuratepartitions.com/products/powder-coated-steel/,"Floor Anchored/Overhead Braced; Floor Anchored; Ceiling Hung; Floor to Ceiling Anchored",64,4.5,USD,EA
Accurate Partitions,Powder Coated Steel 72,Toilet Partitions,10 21 13,Integrated Privacy powder coated steel toilet partition — 72" Ultimate Privacy. Doors and panels up to 72". https://asi-accuratepartitions.com/products/powder-coated-steel/,"Floor Anchored/Overhead Braced; Floor Anchored; Ceiling Hung; Floor to Ceiling Anchored",72,4.5,USD,EA
Accurate Partitions,Stainless Steel 58,Toilet Partitions,10 21 13,Integrated Privacy stainless steel toilet partition — 58" Ultimate Privacy. https://asi-accuratepartitions.com/products/stainless-steel/,"Floor Anchored/Overhead Braced; Floor Anchored; Ceiling Hung; Floor to Ceiling Anchored",58,4.5,USD,EA
Accurate Partitions,Stainless Steel 64,Toilet Partitions,10 21 13,Integrated Privacy stainless steel toilet partition — 64" Ultimate Privacy. https://asi-accuratepartitions.com/products/stainless-steel/,"Floor Anchored/Overhead Braced; Floor Anchored; Ceiling Hung; Floor to Ceiling Anchored",64,4.5,USD,EA
Accurate Partitions,Stainless Steel 72,Toilet Partitions,10 21 13,Integrated Privacy stainless steel toilet partition — 72" Ultimate Privacy. Doors and panels up to 72". https://asi-accuratepartitions.com/products/stainless-steel/,"Floor Anchored/Overhead Braced; Floor Anchored; Ceiling Hung; Floor to Ceiling Anchored",72,4.5,USD,EA
Accurate Partitions,Plastic Laminate 58,Toilet Partitions,10 21 13,Plastic Laminate Moisture Guard toilet partition — 58" standard. Seamless beveled edge banding. https://asi-accuratepartitions.com/products/plastic-laminate-moisture-guard/,"Floor Anchored/Overhead Braced; Floor Anchored; Ceiling Hung; Floor to Ceiling Anchored",58,4.5,USD,EA
Accurate Partitions,Black Core Phenolic 58,Toilet Partitions,10 21 13,Black Core Phenolic toilet partition — 58" Ultimate Privacy. Moisture and vandal resistant. https://asi-accuratepartitions.com/products/black-core-phenolic/,"Floor Anchored/Overhead Braced; Floor Anchored; Ceiling Hung; Floor to Ceiling Anchored",58,4.5,USD,EA
Accurate Partitions,Black Core Phenolic 64,Toilet Partitions,10 21 13,Black Core Phenolic toilet partition — 64" Ultimate Privacy. https://asi-accuratepartitions.com/products/black-core-phenolic/,"Floor Anchored/Overhead Braced; Floor Anchored; Ceiling Hung; Floor to Ceiling Anchored",64,4.5,USD,EA
Accurate Partitions,Black Core Phenolic 72,Toilet Partitions,10 21 13,Black Core Phenolic toilet partition — 72" Ultimate Privacy. Doors and panels up to 72". https://asi-accuratepartitions.com/products/black-core-phenolic/,"Floor Anchored/Overhead Braced; Floor Anchored; Ceiling Hung; Floor to Ceiling Anchored",72,4.5,USD,EA
Accurate Partitions,Color-Thru Phenolic 58,Toilet Partitions,10 21 13,Color-Thru Phenolic toilet partition — 58" Ultimate Privacy. Color through the core. https://asi-accuratepartitions.com/products/color-thru-phenolic/,"Floor Anchored/Overhead Braced; Floor Anchored; Ceiling Hung; Floor to Ceiling Anchored",58,4.5,USD,EA
Accurate Partitions,Color-Thru Phenolic 64,Toilet Partitions,10 21 13,Color-Thru Phenolic toilet partition — 64" Ultimate Privacy. https://asi-accuratepartitions.com/products/color-thru-phenolic/,"Floor Anchored/Overhead Braced; Floor Anchored; Ceiling Hung; Floor to Ceiling Anchored",64,4.5,USD,EA
Accurate Partitions,Color-Thru Phenolic 72,Toilet Partitions,10 21 13,Color-Thru Phenolic toilet partition — 72" Ultimate Privacy. Doors and panels up to 72". https://asi-accuratepartitions.com/products/color-thru-phenolic/,"Floor Anchored/Overhead Braced; Floor Anchored; Ceiling Hung; Floor to Ceiling Anchored",72,4.5,USD,EA
Accurate Partitions,Maximum Privacy 96 FMOH,Toilet Partitions,10 21 13,"Maximum Privacy phenolic — 96"" floor mounted/overhead braced standard, 1"" AFF, 12"" valence. https://asi-accuratepartitions.com/products/maximum-privacy-phenolic/",Floor Anchored/Overhead Braced,96,4.5,USD,EA
Accurate Partitions,Maximum Privacy 120 FTC,Toilet Partitions,10 21 13,"Maximum Privacy phenolic — 120"" floor to ceiling, 1"" AFF, 36"" valence. https://asi-accuratepartitions.com/products/maximum-privacy-phenolic/",Floor to Ceiling Anchored,120,4.5,USD,EA
Accurate Partitions,Urinal Screen 48,Urinal Screens,10 21 13,"Accurate Partitions urinal / privacy screen — 48"" wall-hung standard height. https://asi-accuratepartitions.com/style/urinal-privacy-screens/",Wall Hung,48,4.5,USD,EA
Accurate Partitions,Urinal Screen 58,Urinal Screens,10 21 13,"Accurate Partitions urinal / privacy screen — 58"" wall-hung standard height. https://asi-accuratepartitions.com/style/urinal-privacy-screens/",Wall Hung,58,4.5,USD,EA
